Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Khalifa,Dubai,United Arab Emirates,2010,828,2717,163,Steel Over Concrete,Office / Residential / Hotel
Merdeka 118,Kuala Lumpur,Malaysia,2023,679,2227,118,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
Shanghai Tower,Shanghai,China,2015,632,2073,128,Concrete-Steel Composite,Hotel / Office
Makkah Royal Clock Tower,Mecca,Saudi Arabia,2012,601,1972,120,Steel Over Concrete,Serviced Apartments / Hotel / Retail
Ping An Finance Center,Shenzhen,China,2017,599,1965,115,Concrete-Steel Composite,Office
Lotte World Tower,Seoul,South Korea,2017,555,1819,123,Concrete-Steel Composite,Hotel / Residential / Office / Retail
One World Trade Center,New York City,United States,2014,541,1776,94,Concrete-Steel Composite,Office
Guangzhou CTF Finance Centre,Guangzhou,China,2016,530,1739,111,Composite,Hotel / Residential / Office
Tianjin CTF Finance Centre,Tianjin,China,2019,530,1739,97,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
CITIC Tower,Beijing,China,2018,528,1731,109,Concrete-Steel Composite,Office
TAIPEI 101,Taipei,Taiwan,2004,508,1667,101,Composite,Office
Shanghai World Financial Center,Shanghai,China,2008,492,1614,101,Concrete-Steel Composite,Hotel / Office
International Commerce Centre,Hong Kong,China,2010,484,1588,108,Concrete-Steel Composite,Hotel / Office
Wuhan Greenland Center,Wuhan,China,2023,476,1560,101,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
Central Park Tower,New York City,United States,2020,472,1550,98,All-Concrete,Residential / Retail
Lakhta Center,St. Petersburg,Russia,2019,462,1516,87,Concrete-Steel Composite,Office
Vincom Landmark 81,Ho Chi Minh City,Vietnam,2018,461,1513,81,Concrete-Steel Composite,Hotel / Residential
Changsha IFS Tower T1,Changsha,China,2018,452,1483,94,Concrete-Steel Composite,Hotel / Office
Petronas Twin Tower 1,Kuala Lumpur,Malaysia,1998,452,1483,88,Concrete-Steel Composite,Office
Petronas Twin Tower 2,Kuala Lumpur,Malaysia,1998,452,1483,88,Concrete-Steel Composite,Office
Suzhou IFS,Suzhou,China,2019,450,1476,95,Concrete-Steel Composite,Hotel / Office / Serviced Apartments
Zifeng Tower,Nanjing,China,2010,450,1476,66,Concrete-Steel Composite,Hotel / Office
The Exchange 106,Kuala Lumpur,Malaysia,2019,445,1462,95,Concrete-Steel Composite,Office
Wuhan Tower,Wuhan,China,2019,443,1454,88,Concrete-Steel Composite,Hotel / Residential / Office
Willis Tower,Chicago,United States,1974,442,1451,108,All-Steel,Office
KK100,Shenzhen,China,2011,442,1449,98,Concrete-Steel Composite,Hotel / Office
Guangzhou International Finance Center,Guangzhou,China,2010,439,1439,101,Concrete-Steel Composite,Hotel / Office
111 West 57th Street,New York City,United States,2021,435,1428,84,Steel Over Concrete,Residential
One Vanderbilt Avenue,New York City,United States,2020,427,1401,62,Concrete-Steel Composite,Office
432 Park Avenue,New York City,United States,2015,426,1397,85,All-Concrete,Residential
Marina 101,Dubai,United Arab Emirates,2017,425,1394,101,All-Concrete,Residential / Hotel
Trump International Hotel & Tower,Chicago,United States,2009,423,1389,98,All-Concrete,Residential / Hotel
Minying International Trade Center T2,Dongguan,China,2021,423,1386,85,Concrete-Steel Composite,Office
Jin Mao Tower,Shanghai,China,1999,421,1380,88,Concrete-Steel Composite,Hotel / Office
Princess Tower,Dubai,United Arab Emirates,2012,413,1356,101,Steel Over Concrete,Residential
Al Hamra Tower,Kuwait City,Kuwait,2011,413,1354,80,All-Concrete,Office
Two International Finance Centre,Hong Kong,China,2003,412,1352,88,Concrete-Steel Composite,Office
LCT The Sharp Landmark Tower,Busan,South Korea,2019,412,1350,101,All-Concrete,Hotel / Residential
Ningbo Center Tower 1,Ningbo,China,2025,409,1342,80,Concrete-Steel Composite,Hotel / Residential / Office
Guangxi China Resources Tower,Nanning,China,2020,403,1321,86,Concrete-Steel Composite,Hotel / Office
Guiyang International Financial Center T1,Guiyang,China,2020,401,1316,79,Concrete-Steel Composite,Hotel / Office
Iconic Tower,Cairo,Egypt,2024,394,1292,77,Concrete-Steel Composite,Hotel / Residential / Office
China Resources Tower,Shenzhen,China,2018,393,1288,68,Concrete-Steel Composite,Office
23 Marina,Dubai,United Arab Emirates,2012,392,1287,88,All-Concrete,Residential
CITIC Plaza,Guangzhou,China,1996,390,1280,80,Concrete-Steel Composite,Office
CITYMARK CENTRE,Shenzhen,China,2022,388,1274,70,Concrete-Steel Composite,Residential / Office
Shum Yip Upperhills Tower 1,Shenzhen,China,2020,388,1273,80,Concrete-Steel Composite,Hotel / Office
30 Hudson Yards,New York City,United States,2019,387,1270,73,All-Steel,Office
PIF Tower,Riyadh,Saudi Arabia,2021,385,1263,72,Concrete-Steel Composite,Office
Shun Hing Square,Shenzhen,China,1996,384,1260,69,Concrete-Steel Composite,Office
Eton Place Dalian Tower 1,Dalian,China,2016,383,1257,80,Concrete-Steel Composite,Hotel / Office
Autograph Tower,Jakarta,Indonesia,2022,383,1256,75,Concrete-Steel Composite,Hotel / Office
Nanning Logan Century 1,Nanning,China,2018,381,1251,82,Concrete-Steel Composite,Hotel / Office
Burj Mohammed Bin Rashid,Abu Dhabi,United Arab Emirates,2014,381,1251,88,All-Concrete,Residential
Empire State Building,New York City,United States,1931,381,1250,102,All-Steel,Office
Elite Residence,Dubai,United Arab Emirates,2012,380,1248,87,All-Concrete,Residential
1 Corporate Avenue,Wuhan,China,2021,376,1234,73,Concrete-Steel Composite,Office
Dabaihui Plaza,Shenzhen,China,2021,376,1232,70,Concrete-Steel Composite,Serviced Apartments / Office
Central Plaza,Hong Kong,China,1992,374,1227,78,All-Concrete,Office
Federation Tower,Moscow,Russia,2016,374,1226,93,All-Concrete,Residential / Office
Dalian International Trade Center,Dalian,China,2019,370,1214,86,Concrete-Steel Composite,Residential / Office
The Address Boulevard,Dubai,United Arab Emirates,2017,370,1214,73,All-Concrete,Residential / Hotel / Retail
Qingdao Hai Tian Center,Qingdao,China,2021,369,1210,73,Concrete-Steel Composite,Hotel / Office
Golden Eagle Tiandi Tower A,Nanjing,China,2019,368,1208,77,Concrete-Steel Composite,Hotel / Office
Bank of China Tower,Hong Kong,China,1990,367,1205,72,Concrete-Steel Composite,Office
Bank of America Tower,New York City,United States,2009,366,1200,55,Concrete-Steel Composite,Office
Ciel Tower,Dubai,United Arab Emirates,2024,364,1194,81,All-Concrete,Hotel
The St. Regis Chicago,Chicago,United States,2020,363,1191,101,All-Concrete,Residential / Hotel
Almas Tower,Dubai,United Arab Emirates,2008,360,1181,68,All-Concrete,Office
Ping An Finance Center,Jinan,China,2024,360,1181,63,Concrete-Steel Composite,Hotel / Office
Huiyun Center,Shenzhen,China,2023,359,1178,80,Concrete-Steel Composite,Hotel / Office
Hanking Center,Shenzhen,China,2018,359,1177,65,Concrete-Steel Composite,Office
Gevora Hotel,Dubai,United Arab Emirates,2017,356,1169,75,Steel Over Concrete,Hotel
Il Primo Tower,Dubai,United Arab Emirates,2023,356,1168,79,All-Concrete,Residential
Galaxy World Tower 1,Shenzhen,China,2023,356,1168,71,Concrete-Steel Composite,Office
Galaxy World Tower 2,Shenzhen,China,2023,356,1168,71,Concrete-Steel Composite,Office
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,United Arab Emirates,2012,355,1166,82,All-Concrete,Hotel
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,United Arab Emirates,2013,355,1166,82,All-Concrete,Hotel
