Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Khalifa,Dubai,2010,828,2717,163,Steel Over Concrete,Office / Residential / Hotel
Shanghai Tower,Shanghai,2015,632,2073,128,Concrete-Steel Composite,Hotel / Office
Makkah Royal Clock Tower,Mecca,2012,601,1972,120,Steel Over Concrete,Serviced Apartments / Hotel / Retail
Ping An Finance Center,Shenzhen,2017,599,1965,115,Concrete-Steel Composite,Office
Lotte World Tower,Seoul,2017,555,1819,123,Concrete-Steel Composite,Hotel / Residential / Office / Retail
One World Trade Center,New York City,2014,541,1776,94,Concrete-Steel Composite,Office
Guangzhou CTF Finance Centre,Guangzhou,2016,530,1739,111,Composite,Hotel / Residential / Office
Tianjin CTF Finance Centre,Tianjin,2019,530,1739,97,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
CITIC Tower,Beijing,2018,528,1731,109,Concrete-Steel Composite,Office
TAIPEI 101,Taipei,2004,508,1667,101,Composite,Office
Shanghai World Financial Center,Shanghai,2008,492,1614,101,Concrete-Steel Composite,Hotel / Office
International Commerce Centre,Hong Kong,2010,484,1588,108,Concrete-Steel Composite,Hotel / Office
Central Park Tower,New York City,2020,472,1550,98,All-Concrete,Residential / Retail
Lakhta Center,St. Petersburg,2019,462,1516,87,Concrete-Steel Composite,Office
Vincom Landmark 81,Ho Chi Minh City,2018,461,1513,81,Concrete-Steel Composite,Hotel / Residential
Changsha IFS Tower T1,Changsha,2018,452,1483,94,Concrete-Steel Composite,Hotel / Office
Petronas Twin Tower 1,Kuala Lumpur,1998,452,1483,88,Concrete-Steel Composite,Office
Petronas Twin Tower 2,Kuala Lumpur,1998,452,1483,88,Concrete-Steel Composite,Office
Suzhou IFS,Suzhou,2019,450,1476,95,Concrete-Steel Composite,Hotel / Office / Serviced Apartments
Zifeng Tower,Nanjing,2010,450,1476,66,Concrete-Steel Composite,Hotel / Office
The Exchange 106,Kuala Lumpur,2019,445,1462,95,Concrete-Steel Composite,Office
Wuhan Tower,Wuhan,2019,443,1454,88,Concrete-Steel Composite,Hotel / Residential / Office
Willis Tower,Chicago,1974,442,1451,108,All-Steel,
KK100,Shenzhen,2011,442,1449,98,Concrete-Steel Composite,Hotel / Office
Guangzhou International Finance Center,Guangzhou,2010,439,1439,101,Concrete-Steel Composite,Hotel / Office
One Vanderbilt Avenue,New York City,2020,427,1401,62,Concrete-Steel Composite,Office
432 Park Avenue,New York City,2015,426,1397,85,All-Concrete,Residential
Marina 101,Dubai,2017,425,1394,101,All-Concrete,Residential / Hotel
Trump International Hotel & Tower,Chicago,2009,423,1389,98,All-Concrete,Residential / Hotel
Jin Mao Tower,Shanghai,1999,421,1380,88,Concrete-Steel Composite,Hotel / Office
Princess Tower,Dubai,2012,413,1356,101,Steel Over Concrete,Residential
Al Hamra Tower,Kuwait City,2011,413,1354,80,All-Concrete,Office
Two International Finance Centre,Hong Kong,2003,412,1352,88,Concrete-Steel Composite,Office
LCT The Sharp Landmark Tower,Busan,2019,412,1350,101,All-Concrete,Hotel / Residential
Guangxi China Resources Tower,Nanning,2020,403,1321,86,Concrete-Steel Composite,Hotel / Office
Guiyang International Financial Center T1,Guiyang,2020,401,1316,79,Concrete-Steel Composite,Hotel / Office
China Resources Tower,Shenzhen,2018,393,1288,68,Concrete-Steel Composite,Office
23 Marina,Dubai,2012,392,1287,88,All-Concrete,Residential
CITIC Plaza,Guangzhou,1996,390,1280,80,Concrete-Steel Composite,Office
Shum Yip Upperhills Tower 1,Shenzhen,2020,388,1273,80,Concrete-Steel Composite,Hotel / Office
30 Hudson Yards,New York City,2019,387,1270,73,All-Steel,Office
Shun Hing Square,Shenzhen,1996,384,1260,69,Concrete-Steel Composite,Office
Eton Place Dalian Tower 1,Dalian,2016,383,1257,80,Concrete-Steel Composite,Hotel / Office
Nanning Logan Century 1,Nanning,2018,381,1251,82,Concrete-Steel Composite,Hotel / Office
Burj Mohammed Bin Rashid,Abu Dhabi,2014,381,1251,88,All-Concrete,Residential
Empire State Building,New York City,1931,381,1250,102,All-Steel,Office
Elite Residence,Dubai,2012,380,1248,87,All-Concrete,Residential
Central Plaza,Hong Kong,1992,374,1227,78,All-Concrete,Office
Federation Tower,Moscow,2016,374,1226,93,All-Concrete,Residential / Office
Dalian International Trade Center,Dalian,2019,370,1214,86,Concrete-Steel Composite,Residential / Office
