Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Mole Antonelliana,Turin,Italy,1889,166,543,5.0,,Religious / Museum
Ulmer Münster,Ulm,Germany,1890,162,530,,All-Masonry,Religious
Hohe Domkirche St. Peter und Maria,Cologne,Germany,1880,157,516,,All-Masonry,Religious
Cathedrale Notre-Dame de Rouen,Rouen,France,1876,151,495,,All-Masonry,Religious
Ruine St. Nikolai,Hamburg,Germany,1874,148,485,,All-Masonry,Religious
Notre-Dame de Strasbourg,Strasbourg,France,1439,144,472,,All-Masonry,Religious
Stephansdom,Vienna,Austria,1137,137,449,,All-Masonry,Religious
Petrikirche,Hamburg,Germany,1878,133,436,,All-Masonry,Religious
St. Peter's Basilica,Vatican City,Vatican City,1626,133,435,,All-Masonry,Religious
Michaeliskirche,Hamburg,Germany,1762,132,433,,All-Masonry,Religious
Stiftsbasilika Sankt Martin,Landshut,Germany,1500,131,430,,All-Masonry,Religious
St. Olav Church,Tallinn,Estonia,1450,124,406,,All-Masonry,Religious
St. Peter's Church,Riga,Latvia,1746,123,404,,All-Masonry,Religious
Onze-Lieve-Vrouwe-Kathedraal,Antwerp,Belgium,1521,123,404,,All-Masonry,Religious
Salisbury Cathedral,Salisbury,United Kingdom,1315,123,404,,All-Masonry,Religious
Peter and Paul Cathedral,St. Petersburg,Russia,1733,123,402,9.0,All-Masonry,Religious
Katharinenkirche,Hamburg,Germany,1659,115,377,,All-Masonry,Religious
Santa Maria del Fiore,Florence,Italy,1436,115,376,,All-Masonry,Religious
Domtoren,Utrecht,Netherlands,1382,112,369,,All-Masonry,Religious
St. Paul's Cathedral,London,United Kingdom,1710,111,365,,All-Masonry,Religious
Illinois State Capitol,Springfield (IL),United States,1888,110,361,5.0,,Government
Herz-Jesu-Kirche,Graz,Austria,1887,110,360,,All-Masonry,Religious
Nieuwe Kerk,Delft,Netherlands,1496,109,358,,All-Masonry,Religious
Milan Cathedral,Milan,Italy,1813,107,350,,All-Masonry,Religious
St. Nicholas Church,Tallinn,Estonia,1515,105,344,,,Religious
St. Peter's Church,Dortmund,Germany,1322,105,344,,All-Masonry,Religious
St. Reinold's Church,Dortmund,Germany,1270,104,341,,All-Masonry,Religious
St. Patrick's Cathedral,New York City,United States,1879,103,339,,All-Masonry,
Palace of Westminster,London,United Kingdom,1859,102,336,,All-Masonry,Government
Saint Isaac's Cathedral,St. Petersburg,Russia,1858,102,333,,All-Masonry,Religious / Museum
Onze Lieve Vrouwentoren,Amersfoort,Netherlands,1470,98,323,,All-Masonry,Religious
Chicago Board of Trade Building,Chicago,United States,1885,98,322,10.0,,Office
Vienna City Hall,Vienna,Austria,1883,98,322,3.0,,Government
Allegheny County Courthouse,Pittsburgh,United States,1888,97,318,5.0,All-Masonry,Government
Grote- of Onze Lieve Vrouwekerk,Breda,Netherlands,1509,97,318,,All-Masonry,Religious
Martinitoren,Groningen,Netherlands,1627,97,318,,All-Masonry,Religious
Sint Martinitoren,Doesburg,Netherlands,1430,97,318,,All-Masonry,Religious
Brussels Town Hall,Brussels,Belgium,1455,96,315,,All-Masonry,Government
Texas State Capitol,Austin,United States,1888,95,311,4.0,All-Masonry,Government
World Building,New York City,United States,1890,94,309,20.0,All-Steel,Office
Rotes Rathaus,Berlin,Germany,1871,94,308,4.0,All-Masonry,
Grote- of St Jacobskerk,The Hague,Netherlands,1424,93,305,,All-Masonry,Religious
Madison Square Garden,New York City,United States,1890,93,304,15.0,,Observation / Office / Exhibition
St. Jacobuskerk,The Hague,Netherlands,1878,91,299,,,Religious
St. James' Church,Louth,United Kingdom,1515,90,294,,All-Masonry,Religious
St. Mary Redcliffe,Bristol,United Kingdom,1442,89,292,,All-Masonry,Religious
Belfort van Brugge,Brugge,Belgium,1486,88,289,,All-Masonry,Belltower
United States Capitol,Washington D.C.,United States,1863,88,288,3.0,All-Masonry,
Connecticut State Capitol,Hartford,United States,1878,87,287,6.0,,Government
St. Bonifatius,Leeuwarden,Netherlands,1884,87,285,,,Religious
Riddarholmen Church,Stockholm,Sweden,1300,87,284,,All-Masonry,Religious
Trinity Church,New York City,United States,1846,87,284,,All-Masonry,Religious
Sint-Clemenskerk,Steenwijk,Netherlands,1511,86,282,,All-Masonry,Religious
